"OpnameID";"Kenmerk";"Waarde";"Vegetatielaag";"TypeKenmerk";"Type";"Invoertype";"Eenheid"
"IV2017021716580390";"Calamagrostis canescens (Weber) Roth";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Stellaria uliginosa Murray";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Holcus lanatus L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Equisetum palustre L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Galium palustre L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Ranunculus flammula L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Iris pseudacorus L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Rumex acetosa L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Carex nigra (L.) Reichard";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Peucedanum palustre (L.) Moench";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Juncus conglomeratus L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Sparganium erectum L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Menyanthes trifoliata L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Caltha palustris L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Scirpus sylvaticus L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Carex curta Good.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Juncus filiformis L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Calla palustris L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Plantago lanceolata L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Valeriana repens Host";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Betula pendula Roth";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Alnus glutinosa (L.) Gaertn.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Solanum dulcamara L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Callitriche";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Juncus articulatus L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Glyceria";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Myosotis laxa Lehm.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Epilobium palustre L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Persicaria hydropiper (L.) Spach";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Lotus pedunculatus Cav.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Veronica scutellata L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Mentha";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Calliergon giganteum (Schimp.) Kindb.";27,5;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Plagiomnium ellipticum (Brid.) T.J.Kop.";3;"moslaag";"soort_latijn";"Percentage";;"%"
"IV2017021716580390";"Alnus glutinosa (L.) Gaertn.";1,5;"struiklaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Alnus glutinosa (L.) Gaertn.";1,5;"boomlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Lycopus europaeus L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Ranunculus repens L.";1;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Lysimachia vulgaris L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Juncus effusus L.";27,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Lythrum salicaria L.";3;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Carex rostrata Stokes";27,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Cirsium palustre (L.) Scop.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Dryopteris carthusiana (Vill.) H.P. Fuchs";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Scutellaria galericulata L.";1,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
"IV2017021716250537";"Equisetum fluviatile L.";27,5;"kruidlaag";"soort_latijn";"Percentage";;"%"
