"ID";"SBZH";"Habitattype";"Weight";"Date";"Regio";"TypePlot";"Jaar";"RangNr";"StratumWeight";"fps"
"170834";"Buiten";"2330_bu";1;2017-07-07;"Atlantic";"vegetatieopname";2017;6;91,9972513460925;1840
"177078";"Binnen";"2330_bu";1;2014-09-10;"Atlantic";"vegetatieopname";2014;7;16,7230246124945;5853
"213942";"Binnen";"2330_bu";1;2014-09-05;"Atlantic";"vegetatieopname";2014;8;16,7230246124945;5853
"218322";"Binnen";"4030";1;2014-09-19;"Atlantic";"vegetatieopname";2014;33;114,382132088648;40034
"225910";"Binnen";"2330_bu";1;2014-09-23;"Atlantic";"vegetatieopname";2014;9;16,7230246124945;5853
"226230";"Binnen";"2330_bu";0,256367175307593;2014-09-08;"Atlantic";"vegetatieopname";2014;10;16,7230246124945;5853
"236370";"Binnen";"2330_bu";1;2014-08-27;"Atlantic";"vegetatieopname";2014;11;16,7230246124945;5853
"267190";"Binnen";"4030";1;2014-09-08;"Atlantic";"vegetatieopname";2014;34;114,382132088648;40034
"279478";"Binnen";"4010";1;2014-09-03;"Atlantic";"vegetatieopname";2014;32;59,3729147585655;18406
"295862";"Binnen";"2330_bu";0,223782656804328;2014-09-03;"Atlantic";"vegetatieopname";2014;12;16,7230246124945;5853
"304338";"Binnen";"2310";1;2014-09-22;"Atlantic";"vegetatieopname";2014;36;41,4513647749938;21555
"306130";"Binnen";"2310";1;2014-09-10;"Atlantic";"vegetatieopname";2014;37;41,4513647749938;21555
"331702";"Binnen";"2310";0,76238754517531;2014-09-16;"Atlantic";"vegetatieopname";2014;38;41,4513647749938;21555
"332726";"Binnen";"4030";1;2014-09-05;"Atlantic";"vegetatieopname";2014;35;114,382132088648;40034
"361398";"Binnen";"2330_bu";1;2014-09-02;"Atlantic";"vegetatieopname";2014;13;16,7230246124945;5853
"386422";"Binnen";"2330_bu";1;2014-09-23;"Atlantic";"vegetatieopname";2014;14;16,7230246124945;5853
"398546";"Binnen";"2310";1;2014-09-15;"Atlantic";"vegetatieopname";2014;39;41,4513647749938;21555
"431314";"Binnen";"2330_bu";1;2014-09-17;"Atlantic";"vegetatieopname";2014;15;16,7230246124945;5853
