Versie;Habitattype;Criterium;Indicator;Belang
Versie 3;6120;Verstoring;vergrassing inclusief vervilting;zb
Versie 3;6120;Verstoring;vermossing;zb
Versie 3;6120;Verstoring;verruiging inclusief ruderalisering;zb
Versie 2.0;6210;Vegetatie;(korst)moslaag;b
Versie 2.0;6210;Vegetatie;bedekking sleutelsoorten;b
Versie 2.0;6210;Vegetatie;orchideeën;b
Versie 2.0;6210;Vegetatie;sleutelsoorten;b
Versie 2.0;6210;Verstoring;strooisellaag;b
Versie 2.0;6210;Verstoring;verbossing/verstruweling;b
Versie 2.0;6210;Verstoring;verbraming;b
Versie 2.0;6210;Verstoring;vergrassing;zb
Versie 2.0;6210;Verstoring;verruiging;zb
Versie 2.0;6210;Verstoring;vervilting;zb
Versie 3;6210;Vegetatie;bedekking sleutelsoorten;b
Versie 3;6210;Vegetatie;sleutelsoorten;b
Versie 3;6210;Verstoring;eutrofiëring;zb
Versie 3;6210;Verstoring;strooisellaag;b
Versie 3;6210;Verstoring;verbossing;b
Versie 3;6210;Verstoring;verbraming;b
Versie 3;6210;Verstoring;vergrassing inclusief vervilting;zb
Versie 3;6210;Verstoring;verruiging inclusief ruderalisering;zb
Versie 2.0;6230;Structuur;hoogopschietende soorten;b
Versie 2.0;6230;Structuur;horizontale structuur;b
Versie 2.0;6230;Vegetatie;aantal sleutelsoorten per groep;b
Versie 2.0;6230;Vegetatie;aantal sleutelsoorten totaal;b
Versie 2.0;6230;Vegetatie;bedekking sleutelsoorten;b
Versie 2.0;6230;Vegetatie;sleutelsoorten;b
Versie 2.0;6230;Verstoring;strooisellaag;b
Versie 2.0;6230;Verstoring;verbossing/verstruweling;b
Versie 2.0;6230;Verstoring;vergrassing;zb
Versie 2.0;6230;Verstoring;verruiging;zb
Versie 2.0;6230;Verstoring;vervilting;zb
Versie 3;6230;Vegetatie;bedekking sleutelsoorten;b
Versie 3;6230;Vegetatie;sleutelsoorten;b
Versie 3;6230;Verstoring;eutrofiëring;zb
Versie 3;6230;Verstoring;strooisellaag;b
Versie 3;6230;Verstoring;verbossing;b
Versie 3;6230;Verstoring;verbraming;b
Versie 3;6230;Verstoring;verdroging;zb
Versie 3;6230;Verstoring;vergrassing inclusief vervilting;zb
Versie 3;6230;Verstoring;vermossing;zb
Versie 3;6230;Verstoring;vernatting;zb
Versie 3;6230;Verstoring;verruiging inclusief ruderalisering;zb
Versie 2.0;6410;Structuur;lage schijngrassen;b
Versie 2.0;6410;Vegetatie;bedekking sleutelsoorten;b
Versie 2.0;6410;Vegetatie;sleutelsoorten;b
Versie 2.0;6410;Verstoring;eutrofiëring;zb
Versie 2.0;6410;Verstoring;strooisellaag;b
Versie 2.0;6410;Verstoring;verbossing/verstruweling;b
Versie 2.0;6410;Verstoring;verdroging;zb
Versie 2.0;6410;Verstoring;vergrassing;zb
Versie 2.0;6410;Verstoring;vernatting;zb
Versie 2.0;6410;Verstoring;verruiging;zb
Versie 2.0;6410;Verstoring;verzuring;zb
Versie 3;6410;Structuur;levensvormen;b
Versie 3;6410;Vegetatie;bedekking sleutelsoorten;b
Versie 3;6410;Vegetatie;sleutelsoorten;b
Versie 3;6410;Verstoring;eutrofiëring;zb
Versie 3;6410;Verstoring;strooisellaag;b
Versie 3;6410;Verstoring;verbossing;b
Versie 3;6410;Verstoring;verbraming;b
Versie 3;6410;Verstoring;verdroging;zb
Versie 3;6410;Verstoring;vergrassing inclusief vervilting;zb
Versie 3;6410;Verstoring;vermossing;zb
Versie 3;6410;Verstoring;vernatting;zb
Versie 3;6410;Verstoring;verruiging inclusief ruderalisering;zb
Versie 3;6410;Verstoring;verzuring;zb
Versie 2.0;6430;Structuur;aard mantelzoomvegetatie;b
