"ID";"IDPlots";"Habitattype";"Habitatsubtype";"Versie";"Criterium";"Indicator";"Status_indicator";"Belang";"SBZH";"Meting";"PlotWeight";"StratumWeight";"WeightComb";"Scenario"
"IV2017120112565263";"1040518";6230;"6230_hn";"Versie 3";"Verstoring";"eutrofiëring";TRUE;"zb";"Binnen";"Vegetatieplot";0,73;7,67647058823529;5,60382352941176;"Combinatie crikelplot en vegetatieplot"
"IV2017120112213868";"1040518";6230;"6230_hn";"Versie 3";"Vegetatie";"sleutelsoorten";TRUE;"b";"Binnen";"Cirkelplot";0,73;7,67647058823529;5,60382352941176;"Combinatie crikelplot en vegetatieplot"
"IV2017120112565263";"1040518";6230;"6230_hn";"Versie 3";"Verstoring";"strooisellaag";TRUE;"b";"Binnen";"Cirkelplot";0,73;7,67647058823529;5,60382352941176;"Combinatie crikelplot en vegetatieplot"
"IV2017120112565263";"1040518";6230;"6230_hn";"Versie 3";"Verstoring";"verbossing";TRUE;"b";"Binnen";"Cirkelplot";0,73;7,67647058823529;5,60382352941176;"Combinatie crikelplot en vegetatieplot"
"IV2017120112565263";"1040518";6230;"6230_hn";"Versie 3";"Verstoring";"verbraming";TRUE;"b";"Binnen";"Vegetatieplot";0,73;7,67647058823529;5,60382352941176;"Combinatie crikelplot en vegetatieplot"
"IV2017120112565263";"1040518";6230;"6230_hn";"Versie 3";"Verstoring";"vergrassing inclusief vervilting";TRUE;"zb";"Binnen";"Vegetatieplot";0,73;7,67647058823529;5,60382352941176;"Combinatie crikelplot en vegetatieplot"
"IV2017120112565263";"1040518";6230;"6230_hn";"Versie 3";"Verstoring";"vermossing";TRUE;"zb";"Binnen";"Vegetatieplot";0,73;7,67647058823529;5,60382352941176;"Combinatie crikelplot en vegetatieplot"
"IV2017120112565263";"1040518";6230;"6230_hn";"Versie 3";"Verstoring";"verruiging inclusief ruderalisering";TRUE;"zb";"Binnen";"Vegetatieplot";0,73;7,67647058823529;5,60382352941176;"Combinatie crikelplot en vegetatieplot"
"IV2017021416154407";"1062930";6410;"6410_mo";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";TRUE;"b";"Binnen";"Vegetatieplot";0,8;0,621739130434783;0,497391304347826;"Combinatie crikelplot en vegetatieplot"
"IV2017021416154407";"1062930";6410;"6410_mo";"Versie 2.0";"Verstoring";"eutrofiëring";TRUE;"zb";"Binnen";"Vegetatieplot";0,8;0,621739130434783;0,497391304347826;"Combinatie crikelplot en vegetatieplot"
