"";"CodeLocatie";"Waterloop";"X";"Y";"datum";"ID";"Habitattype";"Meetnet";"SGO";"SBZH";"IDToon";"Regio"
"87";"TR216000.3";"DIJLE";174019;177806;2016-08-18;"TR216000.3_18/08/2016";"3260";"monitoringVMM_KRW";">50";"buiten";NA;"Atl"
"88";"NooMa_02_7";NA;187224;231774;2015-06-18;"NooMa_02_7_18/06/2015";"3260";"overige";"<10";"binnen_sa";NA;"Atl"
"89";"LimnGroteNete";NA;199681;203396;2015-08-13;"LimnGroteNete_13/08/2015";"3260";"overige";">50";"binnen_sa";NA;"Atl"
"90";"GroNe_10";"Grote Nete";199781,7;203276,8;2017-06-02;"GroNe_10_2/06/2017";"3260";"MonitoringINBO_H3260";">50";"binnen_sa";1393;"Atl"
"91";"TR306500.3";"LOEIJENS NEETJE - GEMEENTELOOP";197914;219064;2017-07-03;"TR306500.3_3/07/2017";"3260";"monitoringVMM_KRW";"10-50";"buiten";NA;"Atl"
"92";"TR329000.3";"MOLSE NETE - MOL NEET - MOLNETE";200755;207438;2015-08-19;"TR329000.3_19/08/2015";"3260";"monitoringVMM_KRW";">50";"buiten";NA;"Atl"
"93";"KleNe_06";NA;185945;209539;2015-06-26;"KleNe_06_26/06/2015";"3260";"MonitoringINBO_H3260";">50";"binnen_sa";618;"Atl"
"94";"GouLo_09";"Gouwbergse Loop";180499,5;243103;2017-07-13;"GouLo_09_13/07/2017";"3260";"MonitoringINBO_H3260";"<10";"binnen_sa";815;"Atl"
"95";"GouLo_12";"Gouwbergse Loop";179905,6;243386,6;2016-08-19;"GouLo_12_19/08/2016";"3260";"MonitoringINBO_H3260";"<10";"binnen_sa";806;"Atl"
"96";"TR102500.2";"WARMBEEK - TONGELREEP (NED) - BROEKBEEK - VRENENBEEK - JONGEMANS";228750;210246;2016-07-06;"TR102500.2_6/07/2016";"3260";"monitoringVMM_KRW";"10-50";"binnen_sa";NA;"Atl"
"97";"TR102500.2";"WARMBEEK - TONGELREEP (NED) - BROEKBEEK - VRENENBEEK - JONGEMANS";228750;210246;2013-06-11;"TR102500.2_11/06/2013";"3260";"monitoringVMM_KRW";"10-50";"binnen_sa";NA;"Atl"
"98";"TR102500.4";"WARMBEEK - TONGELREEP (NED) - BROEKBEEK - VRENENBEEK - JONGEMANS";229182;208778;2016-07-06;"TR102500.4_6/07/2016";"3260";"monitoringVMM_KRW";"10-50";"buiten";NA;"Atl"
"99";"TR102500.4";"WARMBEEK - TONGELREEP (NED) - BROEKBEEK - VRENENBEEK - JONGEMANS";229182;208778;2013-06-11;"TR102500.4_11/06/2013";"3260";"monitoringVMM_KRW";"10-50";"buiten";NA;"Atl"
"100";"GouLo_08";"Gouwbergse Loop";180437;243133,3;2016-08-19;"GouLo_08_19/08/2016";"3260";"MonitoringINBO_H3260";"<10";"binnen_sa";814;"Atl"
"101";"WalBo_01";NA;186151;180315;2015-08-28;"WalBo_01_28/08/2015";"3260";"MonitoringINBO_H3260";"<10";"binnen_sa";1690;"Atl"
"102";"BolBe_02";"Bollisenbeek";222900,8;199043,5;2016-08-12;"BolBe_02_12/08/2016";"3260";"MonitoringINBO_H3260";"<10";"binnen_sa";1241;"Atl"
"103";"LimnDommel";NA;223811;213525;2015-07-09;"LimnDommel_9/07/2015";"3260";"overige";">50";"binnen_sa";NA;"Atl"
"104";"TR418000.6";"ZWARTE BEEK";206590;189610;2017-09-28;"TR418000.6_28/09/2017";"3260";"monitoringVMM_KRW";">50";"buiten";NA;"Atl"
"105";"TR397500.1";"DEMER";207257;184790;2016-08-29;"TR397500.1_29/08/2016";"3260";"monitoringVMM_KRW";">50";"buiten";NA;"Atl"
"106";"TR418000.1";"ZWARTEBEEK";198885;186870;2016-09-19;"TR418000.1_19/09/2016";"3260";"monitoringVMM_KRW";">50";"buiten";NA;"Atl"
"107";"ZilBe_01";"Ziltbeke";81436,77;212954,8;2017-05-19;"ZilBe_01_19/05/2017";"3260";"MonitoringINBO_H3260";"<10";"buiten";1464;"Atl"
"108";"AntGr_01";"Antitankkanaal";153679,3;226383,3;2016-08-18;"AntGr_01_18/08/2016";"3260";"MonitoringINBO_H3260";"10-50";"buiten";1143;"Atl"
"109";"AntGr_03";"Antitankkanaal";167003,1;213204,3;2017-07-18;"AntGr_03_18/07/2017";"3260";"MonitoringINBO_H3260";"<10";"binnen_sa";1692;"Atl"
"110";"KaaBe_01";"Kaatsbeek";228295,4;179644,3;2016-08-11;"KaaBe_01_11/08/2016";"3260";"MonitoringINBO_H3260";"<10";"buiten";772;"Atl"
"111";"TR488000.2";"LAAN - LASNE";166671;162111;2016-09-01;"TR488000.2_1/09/2016";"3260";"monitoringVMM_KRW";">50";"binnen_sa";NA;"Atl"
"112";"TR292600.1";"BOSBEEK - KINDERNAUWBEEK - VISBEEK - DIEPTELOOP";179641;210902;2017-06-20;"TR292600.1_20/06/2017";"3260";"monitoringVMM_KRW";"10-50";"buiten";NA;"Atl"
"113";"TR185200.2";"KLEIN SCHIJN - WEZELSEBEEK";160867;214517;2015-06-30;"TR185200.2_30/06/2015";"3260";"monitoringVMM_KRW";"10-50";"buiten";NA;"Atl"
"114";"TR190870.1";"ANTITANKKANAAL - ANTITANKGRACHT";167015;213105;2013-07-30;"TR190870.1_30/07/2013";"3260";"monitoringVMM_KRW";"<10";"binnen_sa";NA;"Atl"
"115";"TR277000.1";"KLEINE NETE";198945;214632;2013-07-16;"TR277000.1_16/07/2013";"3260";"monitoringVMM_KRW";"10-50";"buiten";NA;"Atl"
"116";"Stiemer_01";NA;230211;186888;2015-06-25;"Stiemer_01_25/06/2015";"3260";"MonitoringINBO_H3260";"<10";"buiten";1495;"Atl"
"117";"LimnKleineNete";NA;198940;214637;2015-08-13;"LimnKleineNete_13/08/2015";"3260";"overige";"10-50";"buiten";NA;"Atl"
"118";"DesNe_02";"Desselse Neet";200411,8;215822,2;2016-08-26;"DesNe_02_26/08/2016";"3260";"MonitoringINBO_H3260";"10-50";"binnen_sa";851;"Atl"
"119";"DesNe_01";NA;200563;215904;2015-07-06;"DesNe_01_6/07/2015";"3260";"MonitoringINBO_H3260";"10-50";"binnen_sa";853;"Atl"
"120";"TR329000.2";"MOLSE NETE - MOL NEET - MOLNETE";197991;206965;2015-08-19;"TR329000.2_19/08/2015";"3260";"monitoringVMM_KRW";">50";"binnen_sa";NA;"Atl"
"121";"BosBe_01";NA;236314;191366;2015-06-25;"BosBe_01_25/06/2015";"3260";"MonitoringINBO_H3260";"10-50";"binnen_sa";674;"Atl"
"122";"TR277000.1";"KLEINE NETE";198945;214632;2016-08-01;"TR277000.1_1/08/2016";"3260";"monitoringVMM_KRW";"10-50";"buiten";NA;"Atl"
"123";"TR115000.4";"ITTERBEEK";240834;202666;2014-07-23;"TR115000.4_23/07/2014";"3260";"monitoringVMM_KRW";"10-50";"binnen_sa";NA;"Atl"
