"Scenario";"Meting";"ID";"IDPlots";"Habitattype";"Habitatsubtype";"Versie";"Criterium";"Indicator";"Status_indicator";"Belang";"SBZH";"Regio";"PlotWeight";"StratumWeight";"WeightComb"
"Combinatie cirkelplot en vegetatieplot";"Cirkelplot";"IV2017021515592266";103094;7140;"7140_meso";"Versie 3";"Vegetatie";"sleutelsoorten";FALSE;"b";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";"Cirkelplot";"IV2017021516075256";103094;7140;"7140_meso";"Versie 3";"Verstoring";"strooisellaag";FALSE;"b";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";"Cirkelplot";"IV2017021516075256";103094;7140;"7140_meso";"Versie 3";"Verstoring";"structuurschade";TRUE;"b";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";"Cirkelplot";"IV2017021516075256";103094;7140;"7140_meso";"Versie 3";"Verstoring";"verbossing";TRUE;"zb";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021516075256";103094;7140;"7140_meso";"Versie 3";"Verstoring";"vergrassing";TRUE;"zb";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021516075256";103094;7140;"7140_meso";"Versie 3";"Verstoring";"vermossing";TRUE;"zb";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017021516075256";103094;7140;"7140_meso";"Versie 3";"Verstoring";"verruiging";FALSE;"zb";"Binnen";"Atlantic";50;6,17391304347826;3,08695652173913
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017112908460816";1036446;6230;"6230_hmo";"Versie 2.0";"Vegetatie";"bedekking sleutelsoorten";TRUE;"b";"Binnen";"Atlantic";40;5,635;2,254
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017112908460816";1036446;6230;"6230_hmo";"Versie 2.0";"Structuur";"hoogopschietende soorten";TRUE;"b";"Binnen";"Atlantic";40;5,635;2,254
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017112908460816";1036446;6230;"6230_hmo";"Versie 2.0";"Structuur";"horizontale structuur";TRUE;"b";"Binnen";"Atlantic";40;5,635;2,254
"Combinatie cirkelplot en vegetatieplot";"Cirkelplot";"IV2017112908192809";1036446;6230;"6230_hmo";"Versie 2.0";"Vegetatie";"sleutelsoorten";FALSE;"b";"Binnen";"Atlantic";40;5,635;2,254
"Combinatie cirkelplot en vegetatieplot";"Cirkelplot";"IV2017112908460816";1036446;6230;"6230_hmo";"Versie 2.0";"Verstoring";"strooisellaag";TRUE;"b";"Binnen";"Atlantic";40;5,635;2,254
"Combinatie cirkelplot en vegetatieplot";"Cirkelplot";"IV2017112908460816";1036446;6230;"6230_hmo";"Versie 2.0";"Verstoring";"verbossing";TRUE;"b";"Binnen";"Atlantic";40;5,635;2,254
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017112908460816";1036446;6230;"6230_hmo";"Versie 2.0";"Verstoring";"vergrassing";TRUE;"zb";"Binnen";"Atlantic";40;5,635;2,254
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017112908460816";1036446;6230;"6230_hmo";"Versie 2.0";"Verstoring";"verruiging";TRUE;"zb";"Binnen";"Atlantic";40;5,635;2,254
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017112908460816";1036446;6230;"6230_hmo";"Versie 2.0";"Verstoring";"vervilting";TRUE;"zb";"Binnen";"Atlantic";40;5,635;2,254
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017112908460816";1036446;6230;"6230_hmo";"Versie 3";"Vegetatie";"bedekking sleutelsoorten";TRUE;"b";"Binnen";"Atlantic";40;5,635;2,254
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017112908460816";1036446;6230;"6230_hmo";"Versie 3";"Verstoring";"eutrofiëring";TRUE;"zb";"Binnen";"Atlantic";40;5,635;2,254
"Combinatie cirkelplot en vegetatieplot";"Cirkelplot";"IV2017112908192809";1036446;6230;"6230_hmo";"Versie 3";"Vegetatie";"sleutelsoorten";TRUE;"b";"Binnen";"Atlantic";40;5,635;2,254
"Combinatie cirkelplot en vegetatieplot";"Cirkelplot";"IV2017112908460816";1036446;6230;"6230_hmo";"Versie 3";"Verstoring";"strooisellaag";TRUE;"b";"Binnen";"Atlantic";40;5,635;2,254
"Combinatie cirkelplot en vegetatieplot";"Cirkelplot";"IV2017112908460816";1036446;6230;"6230_hmo";"Versie 3";"Verstoring";"verbossing";TRUE;"b";"Binnen";"Atlantic";40;5,635;2,254
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017112908460816";1036446;6230;"6230_hmo";"Versie 3";"Verstoring";"verbraming";TRUE;"b";"Binnen";"Atlantic";40;5,635;2,254
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017112908460816";1036446;6230;"6230_hmo";"Versie 3";"Verstoring";"verdroging";TRUE;"zb";"Binnen";"Atlantic";40;5,635;2,254
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017112908460816";1036446;6230;"6230_hmo";"Versie 3";"Verstoring";"vergrassing inclusief vervilting";TRUE;"zb";"Binnen";"Atlantic";40;5,635;2,254
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017112908460816";1036446;6230;"6230_hmo";"Versie 3";"Verstoring";"vermossing";TRUE;"zb";"Binnen";"Atlantic";40;5,635;2,254
"Combinatie cirkelplot en vegetatieplot";"Vegetatieplot";"IV2017112908460816";1036446;6230;"6230_hmo";"Versie 3";"Verstoring";"vernatting";TRUE;"zb";"Binnen";"Atlantic";40;5,635;2,254
