"Meetnet";"ID";"Habitattype";"Habitatsubtype";"Versie";"Regio";"PolygonWeight";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek"
"PINK";"Polygoon148";"2110";"2110";"Versie 3";"Atlantic";631;4;5;0;80;1
"PINK";"Polygoon149";"2110";"2110";"Versie 2.0";"Atlantic";170;3;4;0;75;1
"PINK";"Polygoon149";"2110";"2110";"Versie 3";"Atlantic";170;4;5;0;80;1
"PINK";"Polygoon15";"2110";"2110";"Versie 2.0";"Atlantic";2307;4;4;0;100;1
"PINK";"Polygoon15";"2110";"2110";"Versie 3";"Atlantic";2307;5;5;0;100;1
"PINK";"Polygoon150";"2110";"2110";"Versie 2.0";"Atlantic";187;3;4;0;75;1
"PINK";"Polygoon150";"2110";"2110";"Versie 3";"Atlantic";187;4;5;0;80;1
"PINK";"Polygoon151";"2110";"2110";"Versie 2.0";"Atlantic";37;2;4;1;50;0
"PINK";"Polygoon151";"2110";"2110";"Versie 3";"Atlantic";37;3;5;1;60;0
"PINK";"Polygoon152";"2110";"2110";"Versie 2.0";"Atlantic";47;2;4;1;50;0
"PINK";"Polygoon152";"2110";"2110";"Versie 3";"Atlantic";47;3;5;1;60;0
"PINK";"Polygoon153";"2110";"2110";"Versie 2.0";"Atlantic";35;2;4;1;50;0
"PINK";"Polygoon153";"2110";"2110";"Versie 3";"Atlantic";35;3;5;1;60;0
"PINK";"Polygoon154";"2110";"2110";"Versie 2.0";"Atlantic";44;2;4;1;50;0
"PINK";"Polygoon154";"2110";"2110";"Versie 3";"Atlantic";44;3;5;1;60;0
"PINK";"Polygoon155";"2110";"2110";"Versie 2.0";"Atlantic";177;3;4;0;75;1
"PINK";"Polygoon155";"2110";"2110";"Versie 3";"Atlantic";177;4;5;0;80;1
"PINK";"Polygoon156";"2110";"2110";"Versie 2.0";"Atlantic";86;2;4;1;50;0
"PINK";"Polygoon156";"2110";"2110";"Versie 3";"Atlantic";86;3;5;1;60;0
"PINK";"Polygoon157";"2110";"2110";"Versie 2.0";"Atlantic";274;3;4;0;75;1
"PINK";"Polygoon157";"2110";"2110";"Versie 3";"Atlantic";274;4;5;0;80;1
"PINK";"Polygoon158";"2110";"2110";"Versie 2.0";"Atlantic";21;2;4;1;50;0
"PINK";"Polygoon158";"2110";"2110";"Versie 3";"Atlantic";21;3;5;1;60;0
"PINK";"Polygoon159";"2110";"2110";"Versie 2.0";"Atlantic";13;1;4;1;25;0
"PINK";"Polygoon159";"2110";"2110";"Versie 3";"Atlantic";13;2;5;1;40;0
"PINK";"Polygoon16";"2110";"2110";"Versie 2.0";"Atlantic";218;3;4;0;75;1
"PINK";"Polygoon16";"2110";"2110";"Versie 3";"Atlantic";218;4;5;0;80;1
"PINK";"Polygoon160";"2110";"2110";"Versie 2.0";"Atlantic";1009;3;4;0;75;1
"PINK";"Polygoon160";"2110";"2110";"Versie 3";"Atlantic";1009;4;5;0;80;1
"PINK";"Polygoon161";"2110";"2110";"Versie 2.0";"Atlantic";207;3;4;0;75;1
"PINK";"Polygoon161";"2110";"2110";"Versie 3";"Atlantic";207;4;5;0;80;1
"PINK";"Polygoon162";"2110";"2110";"Versie 2.0";"Atlantic";718;3;4;0;75;1
"PINK";"Polygoon162";"2110";"2110";"Versie 3";"Atlantic";718;4;5;0;80;1
"PINK";"Polygoon163";"2110";"2110";"Versie 2.0";"Atlantic";290;2;4;0;50;0
"PINK";"Polygoon163";"2110";"2110";"Versie 3";"Atlantic";290;3;5;0;60;1
"PINK";"Polygoon164";"2110";"2110";"Versie 2.0";"Atlantic";23995;3;4;0;75;1
"PINK";"Polygoon164";"2110";"2110";"Versie 3";"Atlantic";23995;4;5;0;80;1
"PINK";"Polygoon165";"2110";"2110";"Versie 2.0";"Atlantic";3808;3;4;0;75;1
"PINK";"Polygoon165";"2110";"2110";"Versie 3";"Atlantic";3808;4;5;0;80;1
"PINK";"Polygoon166";"2110";"2110";"Versie 2.0";"Atlantic";910;3;4;0;75;1
"PINK";"Polygoon166";"2110";"2110";"Versie 3";"Atlantic";910;4;5;0;80;1
"PINK";"Polygoon167";"2110";"2110";"Versie 2.0";"Atlantic";129;3;4;0;75;1
"PINK";"Polygoon167";"2110";"2110";"Versie 3";"Atlantic";129;4;5;0;80;1
"PINK";"Polygoon168";"2110";"2110";"Versie 2.0";"Atlantic";49;2;4;1;50;0
"PINK";"Polygoon168";"2110";"2110";"Versie 3";"Atlantic";49;3;5;1;60;0
"PINK";"Polygoon169";"2110";"2110";"Versie 2.0";"Atlantic";866;3;4;0;75;1
"PINK";"Polygoon169";"2110";"2110";"Versie 3";"Atlantic";866;3;5;0;60;1
"PINK";"Polygoon17";"2110";"2110";"Versie 2.0";"Atlantic";31116;3;4;0;75;1
"PINK";"Polygoon17";"2110";"2110";"Versie 3";"Atlantic";31116;4;5;0;80;1
"PINK";"Polygoon170";"2110";"2110";"Versie 2.0";"Atlantic";18;1;4;1;25;0
"PINK";"Polygoon170";"2110";"2110";"Versie 3";"Atlantic";18;2;5;1;40;0
"PINK";"Polygoon171";"2110";"2110";"Versie 2.0";"Atlantic";1184;3;4;0;75;1
"PINK";"Polygoon171";"2110";"2110";"Versie 3";"Atlantic";1184;4;5;0;80;1
"PINK";"Polygoon172";"2110";"2110";"Versie 2.0";"Atlantic";1040;3;4;0;75;1
"PINK";"Polygoon172";"2110";"2110";"Versie 3";"Atlantic";1040;3;5;0;60;1
"PINK";"Polygoon173";"2110";"2110";"Versie 2.0";"Atlantic";296;3;4;0;75;1
"PINK";"Polygoon173";"2110";"2110";"Versie 3";"Atlantic";296;4;5;0;80;1
"PINK";"Polygoon174";"2110";"2110";"Versie 2.0";"Atlantic";30;2;4;1;50;0
"PINK";"Polygoon174";"2110";"2110";"Versie 3";"Atlantic";30;3;5;1;60;0
"PINK";"Polygoon175";"2110";"2110";"Versie 2.0";"Atlantic";39;2;4;1;50;0
"PINK";"Polygoon175";"2110";"2110";"Versie 3";"Atlantic";39;3;5;1;60;0
"PINK";"Polygoon176";"2110";"2110";"Versie 2.0";"Atlantic";253;3;4;0;75;1
"PINK";"Polygoon176";"2110";"2110";"Versie 3";"Atlantic";253;4;5;0;80;1
"PINK";"Polygoon177";"2110";"2110";"Versie 2.0";"Atlantic";60;1;4;1;25;0
"PINK";"Polygoon177";"2110";"2110";"Versie 3";"Atlantic";60;2;5;1;40;0
"PINK";"Polygoon178";"2110";"2110";"Versie 2.0";"Atlantic";36;2;4;1;50;0
"PINK";"Polygoon178";"2110";"2110";"Versie 3";"Atlantic";36;3;5;1;60;0
"PINK";"Polygoon179";"2110";"2110";"Versie 2.0";"Atlantic";72;2;4;1;50;0
"PINK";"Polygoon179";"2110";"2110";"Versie 3";"Atlantic";72;3;5;1;60;0
"PINK";"Polygoon18";"2110";"2110";"Versie 2.0";"Atlantic";81;2;4;1;50;0
"PINK";"Polygoon18";"2110";"2110";"Versie 3";"Atlantic";81;3;5;1;60;0
"PINK";"Polygoon180";"2110";"2110";"Versie 2.0";"Atlantic";354;3;4;0;75;1
"PINK";"Polygoon180";"2110";"2110";"Versie 3";"Atlantic";354;4;5;0;80;1
"PINK";"Polygoon181";"2110";"2110";"Versie 2.0";"Atlantic";109;3;4;0;75;1
"PINK";"Polygoon181";"2110";"2110";"Versie 3";"Atlantic";109;4;5;0;80;1
"PINK";"Polygoon182";"2110";"2110";"Versie 2.0";"Atlantic";921;3;4;0;75;1
"PINK";"Polygoon182";"2110";"2110";"Versie 3";"Atlantic";921;4;5;0;80;1
"PINK";"Polygoon183";"2110";"2110";"Versie 2.0";"Atlantic";304;3;4;0;75;1
"PINK";"Polygoon183";"2110";"2110";"Versie 3";"Atlantic";304;4;5;0;80;1
"PINK";"Polygoon184";"2110";"2110";"Versie 2.0";"Atlantic";579;3;4;0;75;1
"PINK";"Polygoon184";"2110";"2110";"Versie 3";"Atlantic";579;4;5;0;80;1
"PINK";"Polygoon185";"2110";"2110";"Versie 2.0";"Atlantic";69;2;4;1;50;0
