"Scenario";"ID";"IDPlots";"Habitattype";"Habitatsubtype";"Versie";"SBZH";"PlotWeight";"StratumWeight";"WeightComb";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek"
"Cirkelplot";"IV2017020814143501";518902;7140;"7140_meso";"Versie 2.0";"Binnen";50;5,18362950735022;2,59181475367511;6;8;1;75;0
"Cirkelplot";"IV2017020814143501";518902;7140;"7140_meso";"Versie 3";"Binnen";50;5,18362950735022;2,59181475367511;10;12;1;83,3333333333333;0
"Cirkelplot";"IV2017020815060283";14029138;6120;"6120";"Versie 2.0";"Binnen";87;5,92188661716822;5,15204135693636;5;8;3;62,5;0
"Cirkelplot";"IV2017020815060283";14029138;6120;"6120";"Versie 3";"Binnen";87;5,92188661716822;5,15204135693636;8;10;2;80;0
"Cirkelplot";"IV2017020911173410";20320594;6120;"6120";"Versie 2.0";"Binnen";32;5,92188661716822;1,89500371749383;4;8;3;50;0
"Cirkelplot";"IV2017020911173410";20320594;6120;"6120";"Versie 3";"Binnen";32;5,92188661716822;1,89500371749383;7;10;2;70;0
"Cirkelplot";"IV2017020914013322";11366482;6120;"6120";"Versie 2.0";"Binnen";30;5,92188661716822;1,77656598515047;4;8;2;50;0
"Cirkelplot";"IV2017020914013322";11366482;6120;"6120";"Versie 3";"Binnen";30;5,92188661716822;1,77656598515047;6;10;2;60;0
"Cirkelplot";"IV2017020915002276";4501586;6120;"6120";"Versie 2.0";"Binnen";30;5,92188661716822;1,77656598515047;8;8;0;100;1
"Cirkelplot";"IV2017020915002276";4501586;6120;"6120";"Versie 3";"Binnen";30;5,92188661716822;1,77656598515047;8;10;2;80;0
"Cirkelplot";"IV2017021009391220";2468182;6410;"6410_ve";"Versie 2.0";"Binnen";55;3,07492932108213;1,69121112659517;7;11;3;63,6363636363636;0
"Cirkelplot";"IV2017021009391220";2468182;6410;"6410_ve";"Versie 3";"Binnen";55;3,07492932108213;1,69121112659517;7;13;5;53,8461538461538;0
"Cirkelplot";"IV2017021011171644";4042038;6410;"6410_mo";"Versie 2.0";"Binnen";80;0,365917673627072;0,292734138901657;10;11;1;90,9090909090909;0
"Cirkelplot";"IV2017021011171644";4042038;6410;"6410_mo";"Versie 3";"Binnen";80;0,365917673627072;0,292734138901657;11;13;2;84,6153846153846;0
