"Scenario";"IDPlots";"Habitattype";"Habitatsubtype";"Versie";"SBZH";"PlotWeight";"StratumWeight";"WeightComb";"nGunstig";"nIndicatoren";"n_zb_Ongunstig";"AandeelGunstig";"Status_habitatvlek"
"Combinatie crikelplot en vegetatieplot";"781906";6230;"6230_hn";"Versie 2.0";"Binnen";0,7;5,42646267659061;3,79852387361343;8;8;0;100;1
"Combinatie crikelplot en vegetatieplot";"781906";6230;"6230_hn";"Versie 3";"Binnen";0,7;5,42646267659061;3,79852387361343;9;9;0;100;1
"Combinatie crikelplot en vegetatieplot";"783954";6230;"6230_ha";"Versie 2.0";"Binnen";0,28;9,00623917481993;2,52174696894958;3;6;0;50;0
"Combinatie crikelplot en vegetatieplot";"783954";6230;"6230_ha";"Versie 3";"Binnen";0,28;9,00623917481993;2,52174696894958;7;9;0;77,7777777777778;1
"Combinatie crikelplot en vegetatieplot";"798133";1330;"1330_hpr";"Versie 2.0";"Binnen";1;6,62466184943237;6,62466184943237;6;6;0;100;1
"Combinatie crikelplot en vegetatieplot";"798133";1330;"1330_hpr";"Versie 3";"Binnen";1;6,62466184943237;6,62466184943237;5;6;0;83,3333333333333;1
"Combinatie crikelplot en vegetatieplot";"801793";1330;"1330_hpr";"Versie 2.0";"Binnen";0,85;6,62466184943237;5,63096257201752;6;6;0;100;1
"Combinatie crikelplot en vegetatieplot";"801793";1330;"1330_hpr";"Versie 3";"Binnen";0,85;6,62466184943237;5,63096257201752;5;6;0;83,3333333333333;1
"Combinatie crikelplot en vegetatieplot";"8121542";6410;"6410_mo";"Versie 2.0";"Binnen";0,9;0,365917673627072;0,329325906264365;8;11;2;72,7272727272727;0
"Combinatie crikelplot en vegetatieplot";"8121542";6410;"6410_mo";"Versie 3";"Binnen";0,9;0,365917673627072;0,329325906264365;11;13;2;84,6153846153846;0
"Combinatie crikelplot en vegetatieplot";"8158406";6410;"6410_mo";"Versie 2.0";"Binnen";0,6;0,365917673627072;0,219550604176243;10;11;0;90,9090909090909;1
"Combinatie crikelplot en vegetatieplot";"8158406";6410;"6410_mo";"Versie 3";"Binnen";0,6;0,365917673627072;0,219550604176243;13;13;0;100;1
"Combinatie crikelplot en vegetatieplot";"823129";6230;"6230_hmo";"Versie 2.0";"Binnen";0,74;2,27842490061699;1,68603442645657;4;9;2;44,4444444444444;0
"Combinatie crikelplot en vegetatieplot";"823129";6230;"6230_hmo";"Versie 3";"Binnen";0,74;2,27842490061699;1,68603442645657;6;11;3;54,5454545454545;0
"Combinatie crikelplot en vegetatieplot";"842030";6230;"6230_hn";"Versie 2.0";"Binnen";1;5,42646267659061;5,42646267659061;6;8;0;75;1
"Combinatie crikelplot en vegetatieplot";"842030";6230;"6230_hn";"Versie 3";"Binnen";1;5,42646267659061;5,42646267659061;7;9;0;77,7777777777778;1
"Combinatie crikelplot en vegetatieplot";"856054";7140;"7140_meso";"Versie 2.0";"Binnen";0,33;5,18362950735022;1,71059773742557;5;8;0;62,5;1
"Combinatie crikelplot en vegetatieplot";"856054";7140;"7140_meso";"Versie 3";"Binnen";0,33;5,18362950735022;1,71059773742557;9;12;0;75;1
"Combinatie crikelplot en vegetatieplot";"857298";6230;"6230_hn";"Versie 2.0";"Binnen";0,7;5,42646267659061;3,79852387361343;8;8;0;100;1
"Combinatie crikelplot en vegetatieplot";"857298";6230;"6230_hn";"Versie 3";"Binnen";0,7;5,42646267659061;3,79852387361343;9;9;0;100;1
"Combinatie crikelplot en vegetatieplot";"863862";7140;"7140_meso";"Versie 2.0";"Binnen";1;5,18362950735022;5,18362950735022;5;8;1;62,5;0
"Combinatie crikelplot en vegetatieplot";"863862";7140;"7140_meso";"Versie 3";"Binnen";1;5,18362950735022;5,18362950735022;10;12;0;83,3333333333333;1
"Combinatie crikelplot en vegetatieplot";"87250";6230;"6230_hn";"Versie 2.0";"Binnen";0,3;5,42646267659061;1,62793880297718;8;8;0;100;1
"Combinatie crikelplot en vegetatieplot";"87250";6230;"6230_hn";"Versie 3";"Binnen";0,3;5,42646267659061;1,62793880297718;9;9;0;100;1
"Combinatie crikelplot en vegetatieplot";"880094";7140;"7140_oli";"Versie 2.0";"Binnen";0,83;8,38547727868332;6,95994614130715;5;9;2;55,5555555555556;0
"Combinatie crikelplot en vegetatieplot";"880094";7140;"7140_oli";"Versie 3";"Binnen";0,83;8,38547727868332;6,95994614130715;6;10;2;60;0
"Combinatie crikelplot en vegetatieplot";"89810";6230;"6230_ha";"Versie 2.0";"Binnen";0,5;9,00623917481993;4,50311958740997;3;6;1;50;0
"Combinatie crikelplot en vegetatieplot";"89810";6230;"6230_ha";"Versie 3";"Binnen";0,5;9,00623917481993;4,50311958740997;7;9;1;77,7777777777778;0
"Combinatie crikelplot en vegetatieplot";"905382";6410;"6410_mo";"Versie 2.0";"Buiten";0,6;0,729345731337661;0,437607438802597;8;11;1;72,7272727272727;0
"Combinatie crikelplot en vegetatieplot";"905382";6410;"6410_mo";"Versie 3";"Buiten";0,6;0,729345731337661;0,437607438802597;11;13;1;84,6153846153846;0
"Combinatie crikelplot en vegetatieplot";"9087041";6410;"6410_ve";"Versie 2.0";"Binnen";0,9;3,07492932108213;2,76743638897391;11;11;0;100;1
"Combinatie crikelplot en vegetatieplot";"9087041";6410;"6410_ve";"Versie 3";"Binnen";0,9;3,07492932108213;2,76743638897391;12;13;0;92,3076923076923;1
