"";"ID";"Criterium";"Indicator";"Voorwaarde";"Type";"Invoertype";"Eenheid";"Waarde"
"135";"AN_TVG_002_3110_18";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"136";"AN_TVG_002_3130a_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"137";"AN_TVG_002_3130a_18";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"138";"AN_TVG_002_3130n_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"139";"AN_TVG_003_3130a_16";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"140";"AN_TVG_003_3130a_16";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"141";"AN_TVG_003_3130n_16";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"142";"AN_TVG_003_3130n_16";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"143";"AN_TVG_004_3130a_16";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"144";"AN_TVG_004_3130a_16";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"145";"AN_TVG_005_3110_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"146";"AN_TVG_005_3110_18";"Structuur";"verticale structuur";"aandeel isoëtiden > overige groeivormen";"Ja/nee";NA;NA;0
"147";"AN_TVG_005_3110_18";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"148";"AN_TVG_005_3130a_18";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"149";"AN_TVG_005_3130a_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"150";"AN_TVG_005_3130n_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"151";"AN_VOL_001_3130a_16";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"152";"AN_VOL_001_3130a_16";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;1
"153";"AN_VOL_002_3130a_18";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;1
"154";"AN_VOL_002_3130a_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"155";"AN_VOL_002_3130n_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"156";"AN_VVM_001_3130n_16";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";0,5
"157";"AN_VVM_003_3130a_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"158";"AN_VVM_003_3130a_18";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"159";"AN_VVM_004_3130a_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"160";"AN_VVM_004_3130a_18";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;1
"161";"AN_ZAM_002_3150_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"162";"AN_ZAM_003_3150_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";0,5
"163";"AN_ZEG_002_3130n_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";0,5
"164";"AN_ZEG_002_3150_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"165";"AN_ZEG_003_3150_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"166";"AN_ZEG_004_3130a_18";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;1
"167";"AN_ZEG_004_3130a_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"168";"LI_BAT_001_3130a_18";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;1
"169";"LI_BAT_001_3130a_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";0,5
"170";"LI_BBV_001_3130a_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"171";"LI_BBV_001_3130a_18";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"172";"LI_BEG_002_3130a_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"173";"LI_BEG_002_3130a_18";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;1
"174";"LI_BEG_003_3130a_18";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"175";"LI_BEG_003_3130a_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"176";"LI_BER_001_3130a_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";0,5
"177";"LI_BER_001_3130a_18";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"178";"LI_BER_001_3130n_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"179";"LI_BER_003_3130n_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"180";"LI_BER_003_3140_18";"Vegetatie";"sleutelsoorten";"kranswiervelden voor > = 50 % sleutelsoorten";"Ja/nee";NA;NA;1
"181";"LI_BER_003_3140_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"182";"LI_BER_004_3130a_18";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"183";"LI_BER_004_3130a_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";0,5
"184";"LI_BOK_001_3150_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"185";"LI_BOK_002_3130n_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"186";"LI_BOK_003_3130n_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"187";"LI_BOK_004_3130a_16";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"188";"LI_BOK_004_3130a_16";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"189";"LI_BOK_004_3130n_16";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"190";"LI_BOK_006_3130a_16";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;1
"191";"LI_BOK_006_3130a_16";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";5
"192";"LI_BOK_006_3130n_16";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";0,5
"193";"LI_BOK_007_3130a_17";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"194";"LI_BOK_007_3130a_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";0,5
"195";"LI_BOK_007_3130n_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"196";"LI_BOK_008_3130a_16";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"197";"LI_BOK_008_3130a_16";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";0,5
"198";"LI_BOK_008_3130n_16";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";0,5
"199";"LI_DKV_002_3140_17";"Vegetatie";"sleutelsoorten";"kranswiervelden voor > = 50 % sleutelsoorten";"Ja/nee";NA;NA;1
"200";"LI_DKV_002_3140_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";0,5
"201";"LI_DON_002_3130a_17";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
"202";"LI_DON_002_3130a_17";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";0,5
"203";"LI_EGO_001_3150_18";"Structuur";"horizontale structuur";"grootste vegetatievlek in m²";"Decimaal getal";NA;"m²";15
"204";"LI_HAG_002_3130a_18";"Structuur";"oeverzone ZW-zijde";"bomen tot op de oever";"Ja/nee";NA;NA;0
