"Schaal";"Periode";"TypeResultaat";"Versie";"Habitattype";"Habitatsubtype";"Criterium";"Indicator";"Belang";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Vlaanderen";1;"SBZH";"Versie 2.0";"91E0";"91E0_va; 91E0_vm; 91E0_vo; 91E0_vn";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen";25;26,0775091881555;0;0;0
"Vlaanderen";1;"SBZH";"Versie 2.0";"91E0";"91E0_va; 91E0_vn; 91E0_vm; 91E0_vo";"Structuur";"hoeveelheid dik dood hout";"zb";"Buiten";22;33,7885500562052;4,86;0,67;28,07
"Vlaanderen";1;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_va";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";19;27,1784542143038;0;0;0
"Vlaanderen";1;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vm";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";15;17,5752400726706;9,35;1,31;44,6
"Vlaanderen";1;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vn";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";10;11,0775091881555;0;0;0
"Vlaanderen";1;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vo";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";3;4,03485576923077;0;NA;NA
"Vlaanderen";1;"Habitattype";"Versie 3";"91E0";"91E0_va; 91E0_vm; 91E0_vn; 91E0_vo";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";47;59,8660592443607;2,75;0,38;17,33
"Vlaanderen";1;"SBZH";"Versie 3";"91E0";"91E0_va; 91E0_vm; 91E0_vo; 91E0_vn";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen";25;26,0775091881555;0;0;0
"Vlaanderen";1;"SBZH";"Versie 3";"91E0";"91E0_va; 91E0_vn; 91E0_vm; 91E0_vo";"Structuur";"hoeveelheid dik dood hout";"zb";"Buiten";22;33,7885500562052;4,86;0,67;28,07
"Vlaanderen";1;"Habitatsubtype";"Versie 3";"91E0";"91E0_va";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";19;27,1784542143038;0;0;0
"Vlaanderen";1;"Habitatsubtype";"Versie 3";"91E0";"91E0_vm";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";15;17,5752400726706;9,35;1,31;44,6
"Vlaanderen";1;"Habitatsubtype";"Versie 3";"91E0";"91E0_vn";"Structuur";"hoeveelheid dik dood hout";"zb";"Binnen & Buiten";10;11,0775091881555;0;0;0
