"Schaal";"Periode";"TypeResultaat";"Versie";"Habitattype";"Habitatsubtype";"Criterium";"Indicator";"Belang";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Vlaanderen";2;"SBZH";"Versie 3";"91E0";"91E0_sf; 91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Buiten";76;143,754045743298;17,33;7,77;34,29
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_sf";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen & Buiten";30;342,2;35,93;20,24;55,33
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_va";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen & Buiten";51;66,2011138962023;30,65;19,07;45,33
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_vc";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen & Buiten";25;23,9007329514447;45,58;26,51;66,04
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_vm";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen & Buiten";38;41,6171850506099;15,41;6,9;30,95
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_vn";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen & Buiten";39;43,0960588041952;14,03;5,66;30,74
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_vo";"Vegetatie";"sleutelsoorten van de kruidlaag";"b";"Binnen & Buiten";19;19,8127710971964;60,15;36,42;79,91
"Vlaanderen";2;"Habitattype";"Versie 2.0";"91E0";"91E0_sf; 91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"Verstoring";"ruderalisering";"zb";"Binnen & Buiten";202;536,827861799649;69,8;53,93;82,02
"Vlaanderen";2;"SBZH";"Versie 2.0";"91E0";"91E0_sf; 91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Verstoring";"ruderalisering";"zb";"Binnen";126;393,07381605635;81,27;68,25;89,75
"Vlaanderen";2;"SBZH";"Versie 2.0";"91E0";"91E0_sf; 91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"Verstoring";"ruderalisering";"zb";"Buiten";76;143,754045743298;38,42;17,68;64,44
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_sf";"Verstoring";"ruderalisering";"zb";"Binnen & Buiten";30;342,2;71,85;45,76;88,54
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_va";"Verstoring";"ruderalisering";"zb";"Binnen & Buiten";51;66,2011138962023;58,14;43,37;71,57
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vc";"Verstoring";"ruderalisering";"zb";"Binnen & Buiten";25;23,9007329514447;56,17;35,26;75,1
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vm";"Verstoring";"ruderalisering";"zb";"Binnen & Buiten";38;41,6171850506099;92,79;79,74;97,68
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vn";"Verstoring";"ruderalisering";"zb";"Binnen & Buiten";39;43,0960588041952;44,42;29,01;60,98
"Vlaanderen";2;"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vo";"Verstoring";"ruderalisering";"zb";"Binnen & Buiten";19;19,8127710971964;96,59;78,87;99,54
"Vlaanderen";2;"Habitattype";"Versie 3";"91E0";"91E0_sf; 91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"Verstoring";"invasieve exoten van de kruidlaag";"zb";"Binnen & Buiten";202;536,827861799649;34,38;25,25;44,82
"Vlaanderen";2;"SBZH";"Versie 3";"91E0";"91E0_sf; 91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Verstoring";"invasieve exoten van de kruidlaag";"zb";"Binnen";126;393,07381605635;25,48;17,77;35,1
"Vlaanderen";2;"SBZH";"Versie 3";"91E0";"91E0_sf; 91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"Verstoring";"invasieve exoten van de kruidlaag";"zb";"Buiten";76;143,754045743298;58,71;23,67;86,7
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_sf";"Verstoring";"invasieve exoten van de kruidlaag";"zb";"Binnen & Buiten";30;342,2;2,99;0,41;18,7
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_va";"Verstoring";"invasieve exoten van de kruidlaag";"zb";"Binnen & Buiten";51;66,2011138962023;81,97;67,32;90,93
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_vc";"Verstoring";"invasieve exoten van de kruidlaag";"zb";"Binnen & Buiten";25;23,9007329514447;85,41;63,15;95,24
"Vlaanderen";2;"Habitatsubtype";"Versie 3";"91E0";"91E0_vm";"Verstoring";"invasieve exoten van de kruidlaag";"zb";"Binnen & Buiten";38;41,6171850506099;100;100;100
