"ID";"Habitattype";"Habitatsubtype";"Voorwaarde";"Waarde";"Type";"Invoertype";"Eenheid";"Criterium";"Indicator";"Belang"
"ZSCPQ146";"91E0";"91E0_sf";"aandeel dood hout";"27";"Percentage";NA;"%";"Structuur";"aandeel dood hout";"b"
"ZSCPQ146";"91E0";"91E0_sf";"aantal exemplaren dik dood hout per ha";"0";"Geheel getal";NA;NA;"Structuur";"hoeveelheid dik dood hout";"zb"
"ZSCPQ146";"91E0";"91E0_sf";"aantal groeiklassen aanwezig";"2";"Geheel getal";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ146";"91E0";"91E0_sf";"bosconstantie";NA;"Geheel getal";NA;NA;"Structuur";"bosconstantie";"zb"
"ZSCPQ146";"91E0";"91E0_sf";"groeiklasse 5 6 of 7 aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ146";"91E0";"91E0_sf";"grondvlak sleutelsoorten boom- en struiklaag";"80";"Percentage";NA;"%";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b"
"ZSCPQ146";"91E0";"91E0_sf";"MSA";"5.59498146767";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal";"zb"
"ZSCPQ147";"91E0";"91E0_sf";"aandeel dood hout";"54";"Percentage";NA;"%";"Structuur";"aandeel dood hout";"b"
"ZSCPQ147";"91E0";"91E0_sf";"aantal exemplaren dik dood hout per ha";"0";"Geheel getal";NA;NA;"Structuur";"hoeveelheid dik dood hout";"zb"
"ZSCPQ147";"91E0";"91E0_sf";"aantal groeiklassen aanwezig";"4";"Geheel getal";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ147";"91E0";"91E0_sf";"bosconstantie";NA;"Geheel getal";NA;NA;"Structuur";"bosconstantie";"zb"
"ZSCPQ147";"91E0";"91E0_sf";"groeiklasse 5 6 of 7 aanwezig";"1";"Ja/nee";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ147";"91E0";"91E0_sf";"grondvlak sleutelsoorten boom- en struiklaag";"90";"Percentage";NA;"%";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b"
"ZSCPQ147";"91E0";"91E0_sf";"MSA";"5.59498146767";"Decimaal getal";NA;NA;"Structuur";"minimum structuurareaal";"zb"
"ZSCPQ149";"91E0";"91E0_sf";"aandeel dood hout";"33";"Percentage";NA;"%";"Structuur";"aandeel dood hout";"b"
"ZSCPQ149";"91E0";"91E0_sf";"aantal exemplaren dik dood hout per ha";"0";"Geheel getal";NA;NA;"Structuur";"hoeveelheid dik dood hout";"zb"
"ZSCPQ149";"91E0";"91E0_sf";"aantal groeiklassen aanwezig";"4";"Geheel getal";NA;NA;"Structuur";"horizontale structuur - groeiklassen";"b"
"ZSCPQ149";"91E0";"91E0_sf";"bosconstantie";NA;"Geheel getal";NA;NA;"Structuur";"bosconstantie";"zb"
