"Schaal";"TypeResultaat";"Versie";"Habitattype";"Habitatsubtype";"Criterium";"Indicator";"Belang";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_vm";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";38;41,6171850506099;24,49;13,42;40,43
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_vn";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";39;43,0960588041952;3,81;0,91;14,55
"Vlaanderen";"Habitatsubtype";"Versie 3";"91E0";"91E0_vo";"Structuur";"minimum structuurareaal";"zb";"Binnen & Buiten";19;19,8127710971964;5,05;0,69;28,76
"Vlaanderen";"Habitattype";"Versie 2.0";"91E0";"91E0_sf; 91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen & Buiten";197;531,135555022861;77,18;68,29;84,15
"Vlaanderen";"SBZH";"Versie 2.0";"91E0";"91E0_sf; 91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen";122;389,40381605635;83,4;73,58;90,07
"Vlaanderen";"SBZH";"Versie 2.0";"91E0";"91E0_sf; 91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Buiten";75;141,731738966511;60,08;33,4;81,88
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_sf";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen & Buiten";30;342,2;94,01;78,59;98,53
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_va";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen & Buiten";47;61,5088071194143;47,54;33,1;62,41
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vc";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen & Buiten";25;23,9007329514447;53,39;32,96;72,74
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vm";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen & Buiten";38;41,6171850506099;55,54;39,25;70,72
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vn";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen & Buiten";39;43,0960588041952;26,24;14,49;42,75
"Vlaanderen";"Habitatsubtype";"Versie 2.0";"91E0";"91E0_vo";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen & Buiten";18;18,8127710971964;62,72;37,99;82,21
"Vlaanderen";"Habitattype";"Versie 3";"91E0";"91E0_sf; 91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen & Buiten";197;531,135555022861;82,19;74,05;88,18
"Vlaanderen";"SBZH";"Versie 3";"91E0";"91E0_sf; 91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"Vegetatie";"sleutelsoorten van de boom- en struiklaag";"b";"Binnen";122;389,40381605635;86,7;76,88;92,74
