"Versie";"Habitattype";"Habitatsubtype";"Indicator";"SBZH";"nObs";"sumWeight";"AandeelGunstig";"AandeelGunstig_LLCI";"AandeelGunstig_ULCI"
"Versie 2.0";"91E0";"91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"hoeveelheid dik dood hout";"Binnen";97;95,97381605635;9,2;4,82;16,87
"Versie 2.0";"91E0";"91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"hoeveelheid dik dood hout";"Buiten";75;98,6540457432985;8,71;4,05;17,74
"Versie 2.0";"91E0";"91E0_va";"hoeveelheid dik dood hout";"Binnen & Buiten";51;66,2011138962023;14;6,91;26,29
"Versie 2.0";"91E0";"91E0_vc";"hoeveelheid dik dood hout";"Binnen & Buiten";25;23,9007329514447;0;0;0
"Versie 2.0";"91E0";"91E0_vm";"hoeveelheid dik dood hout";"Binnen & Buiten";38;41,6171850506099;10,46;3,85;25,41
"Versie 2.0";"91E0";"91E0_vn";"hoeveelheid dik dood hout";"Binnen & Buiten";39;43,0960588041952;8,82;3,28;21,61
"Versie 2.0";"91E0";"91E0_vo";"hoeveelheid dik dood hout";"Binnen & Buiten";19;19,8127710971964;0;0;0
"Versie 3";"91E0";"91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"hoeveelheid dik dood hout";"Binnen & Buiten";172;194,627861799648;8,95;5,45;14,37
"Versie 3";"91E0";"91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"hoeveelheid dik dood hout";"Binnen";97;95,97381605635;9,2;4,82;16,87
"Versie 3";"91E0";"91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"hoeveelheid dik dood hout";"Buiten";75;98,6540457432985;8,71;4,05;17,74
"Versie 3";"91E0";"91E0_va";"hoeveelheid dik dood hout";"Binnen & Buiten";51;66,2011138962023;14;6,91;26,29
"Versie 3";"91E0";"91E0_vc";"hoeveelheid dik dood hout";"Binnen & Buiten";25;23,9007329514447;0;0;0
"Versie 3";"91E0";"91E0_vm";"hoeveelheid dik dood hout";"Binnen & Buiten";38;41,6171850506099;10,46;3,85;25,41
"Versie 3";"91E0";"91E0_vn";"hoeveelheid dik dood hout";"Binnen & Buiten";39;43,0960588041952;8,82;3,28;21,61
"Versie 3";"91E0";"91E0_vo";"hoeveelheid dik dood hout";"Binnen & Buiten";19;19,8127710971964;0;0;0
"Versie 2.0";"91E0";"91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"horizontale structuur - groeiklassen";"Binnen & Buiten";172;194,627861799648;16,74;11,56;23,63
"Versie 2.0";"91E0";"91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"horizontale structuur - groeiklassen";"Binnen";97;95,97381605635;15,58;9,33;24,87
"Versie 2.0";"91E0";"91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"horizontale structuur - groeiklassen";"Buiten";75;98,6540457432985;17,87;10,42;28,93
"Versie 2.0";"91E0";"91E0_va";"horizontale structuur - groeiklassen";"Binnen & Buiten";51;66,2011138962023;18,74;9,95;32,48
"Versie 2.0";"91E0";"91E0_vc";"horizontale structuur - groeiklassen";"Binnen & Buiten";25;23,9007329514447;51,24;31,01;71,08
"Versie 2.0";"91E0";"91E0_vm";"horizontale structuur - groeiklassen";"Binnen & Buiten";38;41,6171850506099;9,99;3,23;26,96
"Versie 2.0";"91E0";"91E0_vn";"horizontale structuur - groeiklassen";"Binnen & Buiten";39;43,0960588041952;8,77;2,55;26,1
"Versie 2.0";"91E0";"91E0_vo";"horizontale structuur - groeiklassen";"Binnen & Buiten";19;19,8127710971964;0;0;0
"Versie 3";"91E0";"91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"horizontale structuur - groeiklassen";"Binnen & Buiten";172;194,627861799648;76,36;69,11;82,34
"Versie 3";"91E0";"91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"horizontale structuur - groeiklassen";"Binnen";97;95,97381605635;83,44;72,07;90,78
"Versie 3";"91E0";"91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"horizontale structuur - groeiklassen";"Buiten";75;98,6540457432985;69,47;58,6;78,53
"Versie 3";"91E0";"91E0_va";"horizontale structuur - groeiklassen";"Binnen & Buiten";51;66,2011138962023;95,93;82,82;99,14
"Versie 3";"91E0";"91E0_vc";"horizontale structuur - groeiklassen";"Binnen & Buiten";25;23,9007329514447;100;100;100
"Versie 3";"91E0";"91E0_vm";"horizontale structuur - groeiklassen";"Binnen & Buiten";38;41,6171850506099;95,19;82,58;98,81
"Versie 3";"91E0";"91E0_vn";"horizontale structuur - groeiklassen";"Binnen & Buiten";39;43,0960588041952;8,77;2,55;26,1
"Versie 3";"91E0";"91E0_vo";"horizontale structuur - groeiklassen";"Binnen & Buiten";19;19,8127710971964;89,91;66,89;97,52
"Versie 2.0";"91E0";"91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"verticale structuur";"Binnen & Buiten";172;194,627861799648;97,48;93,01;99,12
"Versie 2.0";"91E0";"91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"verticale structuur";"Binnen";97;95,97381605635;96,99;90,99;99,04
"Versie 2.0";"91E0";"91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"verticale structuur";"Buiten";75;98,6540457432985;97,95;86,75;99,71
"Versie 2.0";"91E0";"91E0_va";"verticale structuur";"Binnen & Buiten";51;66,2011138962023;96,95;81,26;99,57
"Versie 2.0";"91E0";"91E0_vc";"verticale structuur";"Binnen & Buiten";25;23,9007329514447;96,27;77,58;99,48
"Versie 2.0";"91E0";"91E0_vm";"verticale structuur";"Binnen & Buiten";38;41,6171850506099;100;100;100
"Versie 2.0";"91E0";"91E0_vn";"verticale structuur";"Binnen & Buiten";39;43,0960588041952;100;100;100
"Versie 2.0";"91E0";"91E0_vo";"verticale structuur";"Binnen & Buiten";19;19,8127710971964;89,91;66,89;97,52
"Versie 3";"91E0";"91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"verticale structuur";"Binnen & Buiten";172;194,627861799648;97,48;93,01;99,12
"Versie 3";"91E0";"91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"verticale structuur";"Binnen";97;95,97381605635;96,99;90,99;99,04
"Versie 3";"91E0";"91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"verticale structuur";"Buiten";75;98,6540457432985;97,95;86,75;99,71
"Versie 3";"91E0";"91E0_va";"verticale structuur";"Binnen & Buiten";51;66,2011138962023;96,95;81,26;99,57
"Versie 3";"91E0";"91E0_vc";"verticale structuur";"Binnen & Buiten";25;23,9007329514447;96,27;77,58;99,48
"Versie 3";"91E0";"91E0_vm";"verticale structuur";"Binnen & Buiten";38;41,6171850506099;100;100;100
"Versie 3";"91E0";"91E0_vn";"verticale structuur";"Binnen & Buiten";39;43,0960588041952;100;100;100
"Versie 3";"91E0";"91E0_vo";"verticale structuur";"Binnen & Buiten";19;19,8127710971964;89,91;66,89;97,52
"Versie 2.0";"91E0";"91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";"sleutelsoorten van de boom- en struiklaag";"Binnen & Buiten";167;188,93555502286;46,7;38,8;54,76
"Versie 2.0";"91E0";"91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";"sleutelsoorten van de boom- en struiklaag";"Binnen";93;92,30381605635;52,18;41,43;62,74
"Versie 2.0";"91E0";"91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";"sleutelsoorten van de boom- en struiklaag";"Buiten";74;96,6317389665105;41,46;30,14;53,75
"Versie 2.0";"91E0";"91E0_va";"sleutelsoorten van de boom- en struiklaag";"Binnen & Buiten";47;61,5088071194143;47,54;33,11;62,39
"Versie 2.0";"91E0";"91E0_vc";"sleutelsoorten van de boom- en struiklaag";"Binnen & Buiten";25;23,9007329514447;53,39;32,89;72,81
"Versie 2.0";"91E0";"91E0_vm";"sleutelsoorten van de boom- en struiklaag";"Binnen & Buiten";38;41,6171850506099;55,54;39,21;70,76
"Versie 2.0";"91E0";"91E0_vn";"sleutelsoorten van de boom- en struiklaag";"Binnen & Buiten";39;43,0960588041952;26,24;14,48;42,78
